Data,Modelo,Produto,Loja,Preco_USD,Preco_BRL,Codigo,Link_Produto,Link_Loja
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 512GB,Apple iPhone 17 Pro Max 512GB Ah -Esim Blue,Melody,1525.0,7945.25,7418-6,https://www.comprasparaguai.com.br/apple-iphone-17-pro-max-512gb-ah-esim-blue__5550224/,https://melody.com.py/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 512GB,Celular Apple iPhone 17 Pro Max 512GB Silver LL Lacrado Esim,MultiPass,1578.0,8221.38,141359,https://www.comprasparaguai.com.br/celular-apple-iphone-17-pro-max-512gb-silver-ll-lacrado-esim__5185318/,https://multipass.com.py/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 512GB,Celular iPhone 17 Pro Max 512GB Blue,Dr Cell Atacado,1550.0,8075.5,33364,https://www.comprasparaguai.com.br/celular-iphone-17-pro-max-512gb-blue__5016891/,https://drcellatacado.com.py/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 512GB,iPhone 17 Pro Max 512GB Americano Blue,Star Company,1580.0,8231.8,125390,https://www.comprasparaguai.com.br/iphone-17-pro-max-512gb-americano-blue__5444452/,https://www.starcompany-py.com/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 512GB,iPhone 17 Pro Max 512GB Americano Orange,Star Company,1580.0,8231.8,125383,https://www.comprasparaguai.com.br/iphone-17-pro-max-512gb-americano-orange__5444451/,https://www.starcompany-py.com/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 512GB,iPhone 17 Pro Max 512GB Laranja Esim A3257-LL,Alborada,1560.0,8127.6,0-803582,https://www.comprasparaguai.com.br/iphone-17-pro-max-512gb-laranja-esim-a3257-ll__5411453/,http://www.alboradainfo.com/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 512GB,"Apple iPhone 17 Pro Max A3526 Be 512GB 12GB Ram Tela 6.9"" - Laranja (Anatel)",Atacado Connect,1520.0,7919.2,1349276,https://www.comprasparaguai.com.br/apple-iphone-17-pro-max-a3526-be-512gb-12gb-ram-tela-69-laranja-anatel__5235588/,https://www.atacadoconnect.com/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 512GB,Cel Apple New iPhone 17 Pro Max 512GB A-3525 Silver 4J/A Esim Japan,LG Importados,1560.0,8127.6,921275,https://www.comprasparaguai.com.br/cel-apple-new-iphone-17-pro-max-512gb-a-3525-silver-4ja-esim-japan__5527227/,http://lgimportados.com/?fbclid=IwAR1xLZIxb-cCTV04kG6FiF8fxT4EW8Nok0_4t5DKnUHjNlazg7pQd6DPrBs
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 512GB,Cel Apple New iPhone 17 Pro Max 512GB A-3526 Deep Blue Be/A Esim,LG Importados,1550.0,8075.5,1118537,https://www.comprasparaguai.com.br/cel-apple-new-iphone-17-pro-max-512gb-a-3526-deep-blue-bea-esim__5540547/,http://lgimportados.com/?fbclid=IwAR1xLZIxb-cCTV04kG6FiF8fxT4EW8Nok0_4t5DKnUHjNlazg7pQd6DPrBs
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 512GB,Cel Apple New iPhone 17 Pro Max 512GB A-3257 Cosmic Orange LL/A Esim,LG Importados,1550.0,8075.5,902809,https://www.comprasparaguai.com.br/cel-apple-new-iphone-17-pro-max-512gb-a-3257-cosmic-orange-lla-esim__5526217/,http://lgimportados.com/?fbclid=IwAR1xLZIxb-cCTV04kG6FiF8fxT4EW8Nok0_4t5DKnUHjNlazg7pQd6DPrBs
